DRAFT_YEAR,OVERALL_PICK,ROOKIE_SALARY_YEAR_1
2007,14,1329500
2007,15,1262900
2007,16,1199800
2007,17,1139800
2007,18,1082800
2007,19,1034100
2007,20,992700
2007,21,953000
2007,22,914900
2007,23,878300
2007,24,843100
2007,25,809400
2007,26,782600
2007,27,760000
2007,28,755400
2007,29,749900
2007,30,744400
2007,31,
2007,32,
2007,33,
2007,34,
2007,35,
2007,36,
2007,37,
2007,38,
2007,39,
2007,40,
2007,41,
2007,42,
2007,43,
2007,44,
2007,45,
2007,46,
2007,47,
2007,48,
2007,49,
2007,50,
2007,51,
2007,52,
2007,53,
2007,54,
2007,55,
2007,56,
2007,57,
2007,58,
2007,59,
2007,60,
2008,1,3885000
2008,2,3476000
2008,3,3121500
2008,4,2814300
2008,5,2548500
2008,6,2314800
2008,7,2113100
2008,8,1935900
2008,9,1779500
2008,10,1690500
2008,11,1605900
2008,12,1525600
2008,13,1449300
2008,14,1376900
2008,15,1308000
2008,16,1242700
2008,17,1180500
2008,18,1121500
2008,19,1071000
2008,20,1028200
2008,21,987000
2008,22,947500
2008,23,909700
2008,24,873200
2008,25,838300
2008,26,810600
2008,27,787100
2008,28,782300
2008,29,776600
2008,30,771000
2008,31,
2008,32,
2008,33,
2008,34,
2008,35,
2008,36,
2008,37,
2008,38,
2008,39,
2008,40,
2008,41,
2008,42,
2008,43,
2008,44,
2008,45,
2008,46,
2008,47,
2008,48,
2008,49,
2008,50,
2008,51,
2008,52,
2008,53,
2008,54,
2008,55,
2008,56,
2008,57,
2008,58,
2008,59,
2008,60,
2009,1,4019000
2009,2,3595800
2009,3,3229200
2009,4,2911400
2009,5,2636400
2009,6,2394600
2009,7,2186000
2009,8,2002600
2009,9,1840800
2009,10,1748800
2009,11,1661300
2009,12,1578200
2009,13,1499300
2009,14,1424400
2009,15,1353100
2009,16,1285500
2009,17,1221200
2009,18,1160200
2009,19,1107900
2009,20,1063600
2009,21,1021000
2009,22,980200
2009,23,941100
2009,24,903400
2009,25,867200
2009,26,838500
2009,27,814300
2009,28,809300
2009,29,803400
2009,30,797600
2009,31,
2009,32,
2009,33,
2009,34,
2009,35,
2009,36,
2009,37,
2009,38,
2009,39,
2009,40,
2009,41,
2009,42,
2009,43,
2009,44,
2009,45,
2009,46,
2009,47,
2009,48,
2009,49,
2009,50,
2009,51,
2009,52,
2009,53,
2009,54,
2009,55,
2009,56,
2009,57,
2009,58,
2009,59,
2009,60,
2010,1,4152900
2010,2,3715700
2010,3,3336800
2010,4,3008400
2010,5,2724300
2010,6,2474400
2010,7,2258800
2010,8,2069400
2010,9,1902200
2010,10,1807100
2010,11,1716700
2010,12,1630900
2010,13,1549300
2010,14,1471900
2010,15,1398200
2010,16,1328400
2010,17,1261900
2010,18,1198900
2010,19,1144900
2010,20,1099100
2010,21,1055100
2010,22,1012900
2010,23,972500
2010,24,933500
2010,25,896200
2010,26,866500
2010,27,841400
2010,28,836300
2010,29,830200
2010,30,824200
2010,31,
2010,32,
2010,33,
2010,34,
2010,35,
2010,36,
2010,37,
2010,38,
2010,39,
2010,40,
2010,41,
2010,42,
2010,43,
2010,44,
2010,45,
2010,46,
2010,47,
2010,48,
2010,49,
2010,50,
2010,51,
2010,52,
2010,53,
2010,54,
2010,55,
2010,56,
2010,57,
2010,58,
2010,59,
2010,60,
2011,1,4286900
2011,2,3835600
2011,3,3444400
2011,4,3105500
2011,5,2812200
2011,6,2554200
2011,7,2331700
2011,8,2136100
2011,9,1963600
2011,10,1865300
2011,11,1772100
2011,12,1683500
2011,13,1599300
2011,14,1519400
2011,15,1443300
2011,16,1371200
2011,17,1302600
2011,18,1237500
2011,19,1181800
2011,20,1134500
2011,21,1089100
2011,22,1045600
2011,23,1003800
2011,24,963600
2011,25,925100
2011,26,894400
2011,27,868600
2011,28,863300
2011,29,857000
2011,30,850800
2011,31,
2011,32,
2011,33,
2011,34,
2011,35,
2011,36,
2011,37,
2011,38,
2011,39,
2011,40,
2011,41,
2011,42,
2011,43,
2011,44,
2011,45,
2011,46,
2011,47,
2011,48,
2011,49,
2011,50,
2011,51,
2011,52,
2011,53,
2011,54,
2011,55,
2011,56,
2011,57,
2011,58,
2011,59,
2011,60,
2012,1,4286900
2012,2,3835600
2012,3,3444400
2012,4,3105500
2012,5,2812200
2012,6,2554200
2012,7,2331700
2012,8,2136100
2012,9,1963600
2012,10,1865300
2012,11,1772100
