GROUP_VALUE,GP,MIN,TS_PCT,USG_PCT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,E_NET_RATING,AST_PCT,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,PACE,E_PACE,PIE,PERSON_ID,SEASON_START_YEAR
2021-22,2,8.2,0.717,0.286,108.3,105.2,40.5,41.9,67.8,63.2,0.0,0.111,0.182,0.15,16.7,17.0,0.688,106.94,106.7,0.376,1629635,2021
2020-21,45,25.2,0.511,0.142,102.6,102.5,109.8,109.5,-7.2,-7.0,0.132,0.033,0.117,0.074,7.9,7.9,0.492,100.85,101.04,0.084,1629643,2020
2021-22,70,25.0,0.501,0.159,100.3,99.3,109.1,109.1,-8.8,-9.8,0.104,0.024,0.165,0.092,7.3,7.3,0.478,101.68,102.2,0.093,1629643,2021
2022-23,27,19.2,0.488,0.121,105.7,104.2,116.5,114.8,-10.8,-10.6,0.101,0.049,0.132,0.09,9.1,9.2,0.459,100.31,101.78,0.063,1629643,2022
2023-24,47,9.2,0.465,0.131,99.5,101.4,106.8,107.3,-7.3,-6.0,0.076,0.039,0.145,0.089,10.6,10.6,0.46,97.51,96.4,0.066,1629643,2023
2024-25,9,21.9,0.641,0.093,115.8,115.6,122.1,121.8,-6.3,-6.3,0.101,0.099,0.141,0.118,5.1,5.1,0.638,99.08,99.3,0.089,1629643,2024
2019-20,47,12.6,0.473,0.233,110.0,109.7,113.5,113.3,-3.6,-3.7,0.212,0.015,0.122,0.068,12.7,12.7,0.455,104.6,104.85,0.069,1629638,2019
2020-21,46,21.9,0.522,0.228,108.2,107.4,111.5,109.9,-3.3,-2.5,0.155,0.012,0.127,0.069,10.5,10.5,0.502,100.54,101.64,0.088,1629638,2020
2021-22,50,26.3,0.474,0.243,106.8,105.2,111.0,111.0,-4.2,-5.9,0.167,0.026,0.099,0.061,9.4,9.5,0.45,99.01,99.76,0.073,1629638,2021
2019-20,54,8.7,0.523,0.17,102.2,103.6,103.7,103.8,-1.4,-0.2,0.066,0.052,0.146,0.103,12.9,13.0,0.493,105.77,104.97,0.072,1629048,2019
2020-21,45,12.5,0.523,0.169,108.5,108.8,109.3,109.9,-0.8,-1.1,0.087,0.095,0.148,0.121,6.2,6.2,0.479,105.27,104.82,0.078,1629048,2020
2021-22,50,14.6,0.595,0.191,114.0,113.1,116.4,115.9,-2.4,-2.7,0.11,0.106,0.139,0.122,11.7,11.7,0.565,100.69,101.33,0.088,1629048,2021
2022-23,17,15.0,0.606,0.147,107.7,105.6,104.8,105.5,2.9,0.0,0.12,0.132,0.198,0.164,8.9,8.9,0.589,98.6,99.22,0.132,1629048,2022
