PERSON_ID,PLAYER_NAME,DRAFT_YEAR,OVERALL_PICK,ROUND_NUMBER,ROUND_PICK,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,NUM_SEASONS_PLAYED_IN_DATA,PLAYER_AGE,FG_PCT_AGG,FG3_PCT_AGG,FT_PCT_AGG,GP_zscore,MIN_zscore,PTS_zscore,REB_zscore,AST_zscore,PerformanceScore,ExpectedPerformanceScore,VOE,ROOKIE_SALARY_YEAR_1,ROI,ROI_scaled,GP_total_adv,MIN_total_adv,NUM_ADV_SEASONS_PLAYED_adv,TS_PCT_wavg_adv,USG_PCT_wavg_adv,E_OFF_RATING_wavg_adv,E_DEF_RATING_wavg_adv,E_NET_RATING_wavg_adv,AST_PCT_wavg_adv,OREB_PCT_wavg_adv,DREB_PCT_wavg_adv,REB_PCT_wavg_adv,TM_TOV_PCT_wavg_adv,E_TOV_PCT_wavg_adv,EFG_PCT_wavg_adv,E_PACE_wavg_adv,PIE_wavg_adv,GP_total_adv_zscore_v2,MIN_total_adv_zscore_v2,TS_PCT_wavg_adv_zscore_v2,USG_PCT_wavg_adv_zscore_v2,E_NET_RATING_wavg_adv_zscore_v2,PIE_wavg_adv_zscore_v2,REB_PCT_wavg_adv_zscore_v2,AST_PCT_wavg_adv_zscore_v2,PerformanceScore_v2,ExpectedPerformanceScore_v2,VOE_v2,ROI_v2,ROI_scaled_v2
2030,Kenyon Martin,2000,1,1,1,353.0,347.0,11932.0,2183.0,4628.0,32.0,158.0,958.0,1453.0,693.0,1965.0,2658.0,838.0,461.0,464.0,819.0,1294.0,5356.0,5.0,25.0,0.4716940363007779,0.20253164556962025,0.6593255333792154,1.4356735911405045,2.1269994977313225,1.9799268887680068,2.509556456899571,1.035459114130227,9.087615548669632,8.481838049306718,0.6057774993629135,2813300.0,3.2302333731452855e-06,3.2302333731452855,353.0,11938.3,5.0,0.5070258579529748,0.22873899969007316,100.92476399487366,97.92591742542909,2.957828166489366,0.12346234388480772,0.059261586658066905,0.1669972022817319,0.1131433788730389,11.835515944481209,11.838394913848706,0.4745132640325675,94.49668939463741,0.11056061583307507,1.4375863600624337,2.125818160003149,0.33047688762083904,0.9586850783759541,0.6394318141729526,0.9021009369428454,0.7931754207016048,0.20443683813476626,7.391711496014544,7.76917563705638,-0.3774641410418358,2.627416733378788e-06,2.627416733378788
2031,Stromile Swift,2000,2,1,2,352.0,70.0,7402.0,1168.0,2498.0,1.0,17.0,835.0,1172.0,617.0,1132.0,1749.0,204.0,267.0,509.0,463.0,860.0,3172.0,5.0,23.0,0.4675740592473979,0.058823529411764705,0.712457337883959,1.427978830179389,0.9448945947260197,0.8265832910582632,1.3591584137969002,-0.2587703916615968,4.299844738098975,4.571503588611435,-0.27165885051245997,2517100.0,1.7082534416983732e-06,1.7082534416983732,352.0,7398.3,5.0,0.5247117581065921,0.2105091304759201,99.07556465674547,101.90038252030871,-2.824817863563251,0.048822148331373424,0.0852002081559277,0.15095385426381736,0.11867270859521782,12.549185623724366,12.610740305205251,0.4676302664125543,93.70945555059944,0.10221529270237756,1.4299743755119005,0.9482230046260379,0.42454067907061604,0.7081931359056842,0.036308142939269004,0.7296261501824975,0.9144314878130124,-0.6583896630422554,4.5329073130067625,4.455387110563842,0.0775202024429209,1.800845144414907e-06,1.8008451444149072
2032,Darius Miles,2000,3,1,3,272.0,129.0,7556.0,1112.0,2336.0,6.0,62.0,459.0,769.0,413.0,1072.0,1485.0,541.0,231.0,331.0,559.0,618.0,2689.0,4.0,20.5,0.476027397260274,0.0967741935483871,0.5968790637191157,0.8123979532901564,0.9850809424220057,0.5715169184878391,1.0250494111796227,0.4291717904391044,3.823217015818728,7.207031910243829,-3.383814894425101,2260400.0,1.6913895840642046e-06,1.6913895840642046,272.0,7552.5,4.0,0.5018483018867924,0.19167281032770603,99.03393975504798,101.12931347236014,-2.0953737173121483,0.1220477192982456,0.05586396557431314,0.13738989738497187,0.09799083747103608,14.756145647136709,14.813882820258192,0.4772309566368752,93.54483124793114,0.09308123138033764,0.8210156114692423,0.9882197387580094,0.3029396658906066,0.44936810718551895,0.11238837146449347,0.5408503227996335,0.46088603492310576,0.18808404627171996,3.86375189876233,6.706568501187151,-2.842816602424821,1.7093221990631438e-06,1.7093221990631438
2033,Marcus Fizer,2000,4,1,4,286.0,35.0,5997.0,1094.0,2519.0,20.0,109.0,554.0,801.0,374.0,959.0,1333.0,351.0,134.0,81.0,426.0,643.0,2762.0,5.0,24.0,0.4342993251290195,0.1834862385321101,0.6916354556803995,0.9201246067457721,0.5782594095775758,0.6100673226237417,0.8326836217939175,0.0413112129936052,2.9824461737346124,5.498720180722668,-2.516274006988056,2037900.0,1.4634899522717564e-06,1.4634899522717564,286.0,6004.2,5.0,0.4813339995336598,0.24900393058192596,95.72174477865495,104.62864661403685,-8.881086572732421,0.11182598847473434,0.06162622830685187,0.17085210352753072,0.1146350554611772,11.783494886912496,11.784467539389095,0.4392251757103361,93.07703740714834,0.09284394257353187,0.9275833951767075,0.5866182896235641,0.19383280440648434,1.237140279754195,-0.5953540751644657,0.5359462183433426,0.8258873126610043,0.06992277703831244,3.7815770018391444,4.862245903575439,-1.0806689017362947,1.855624418194781e-06,1.855624418194781
2034,Mike Miller,2000,5,1,5,210.0,167.0,6704.0,1092.0,2506.0,373.0,967.0,385.0,495.0,161.0,780.0,941.0,508.0,140.0,63.0,330.0,518.0,2942.0,3.0,22.0,0.43575418994413406,0.3857290589451913,0.7777777777777778,0.33532277370100116,0.7627512785455116,0.7051231136437756,0.33658237548341496,0.3618065322512019,2.5015860736249054,5.6070193539629205,-3.105433280338015,1845500.0,1.3555058648739666e-06,1.3555058648739666,210.0,6699.6,3.0,0.5400138814257567,0.2006734730431667,103.94908651262762,101.19342647322227,2.787444026509045,0.12389897904352497,0.023416532330288373,0.11683431846677413,0.06960218520508688,9.244886261866379,9.212287300734372,0.510718341393516,96.33929518180189,0.09517508507970625,0.3490725693361823,0.7669926665066575,0.5059261739637484,0.5730438977592159,0.621660934286675,0.5841244974061933,-0.16166615445977922,0.20948425773882096,3.448638842537714,5.229132041704718,-1.7804931991670037,1.8686745286034755e-06,1.8686745286034756
2035,DerMarr Johnson,2000,6,1,6,300.0,129.0,5483.0,713.0,1704.0,252.0,718.0,291.0,366.0,182.0,529.0,711.0,286.0,181.0,137.0,322.0,555.0,1969.0,5.0,23.6,0.4184272300469484,0.35097493036211697,0.7950819672131147,1.0278512602013878,0.4441309503844796,0.19129375440770396,0.04550256259715064,-0.09137793192196032,1.6174005956687618,3.284608943102659,-1.6672083474338972,1676200.0,9.649210092284701e-07,0.9649210092284701,300.0,5458.1,5.0,0.5268828163646692,0.17561823711547975,100.53927190780676,101.78006632344588,-1.2631685018596217,0.08414560011725694,0.033395394001575644,0.09748524211722029,0.06549825030688336,13.018810575108557,13.055532144885584,0.49218072222934733,95.56660522892582,0.06712247851816566,1.0341511788841726,0.4449696741276523,0.4360876158642917,0.22876634739123966,0.1991864673802795,0.004354576098274974,-0.25166386312261413,-0.25005726133934003,1.845794735283957,3.2361565508349366,-1.3903618155509796,1.101178102424506e-06,1.101178102424506
2036,Chris Mihm,2000,7,1,7,239.0,119.0,4573.0,637.0,1458.0,3.0,11.0,376.0,528.0,441.0,735.0,1176.0,79.0,84.0,221.0,290.0,690.0,1653.0,4.0,22.5,0.43689986282578874,0.2727272727272727,0.7121212121212122,0.5584708415733479,0.20666616854456218,0.024418032394755724,0.6339900103889459,-0.5139418241915306,0.9096032287100813,5.411582922276298,-4.501979693566216,1530200.0,5.944342103712464e-07,0.5944342103712463,239.0,4560.1,4.0,0.49036814982127586,0.1937193044012193,96.74559987719569,102.69498037323744,-5.949380496041754,0.03011192737001382,0.09715596149207256,0.16179759215806674,0.12960421920571918,14.093872941382866,14.168384465252956,0.44025907326593716,94.21795881669263,0.06447562553452775,0.5698201213016458,0.2120444649803735,0.24188161284705753,0.4774884557028985,-0.2895803302797757,-0.05034856682254124,1.1541552971744258,-0.8746762679826425,1.4407847869214414,4.624556855816455,-3.1837720688950135,9.415663226515759e-07,0.9415663226515759
2037,Jamal Crawford,2000,8,1,8,314.0,185.0,9022.0,1476.0,3714.0,503.0,1450.0,523.0,632.0,114.0,680.0,794.0,1237.0,341.0,92.0,592.0,508.0,3978.0,5.0,23.0,0.3974151857835218,0.3468965517241379,0.8275316455696202,1.1355779136570034,1.3676340964630154,1.252221999736859,0.15054440811697645,1.849966326765775,5.7559447447396295,2.4915856085804453,3.264359136159184,1401900.0,4.10581692327529e-06,4.10581692327529,314.0,9017.9,5.0,0.49719146364452926,0.22439887335188904,98.17472027855707,103.97423457789507,-5.799514299337984,0.24076390290422384,0.012094445491744196,0.07638834983754532,0.043605573359651366,10.360324465784718,10.29395979108218,0.4647215316204438,94.35865112720258,0.10066572040053672,1.1407189625916379,1.3683184041081455,0.2781719211091234,0.8990485190432037,-0.27394944948920713,0.6976007692422868,-0.731761820477892,1.5604206080175325,4.938567914144831,2.6823169235391395,2.2562509906056913,3.522767611202533e-06,3.522767611202533
2038,Joel Przybilla,2000,9,1,9,148.0,104.0,2258.0,124.0,273.0,0.0,1.0,65.0,154.0,186.0,414.0,600.0,39.0,38.0,210.0,91.0,388.0,313.0,4.0,22.5,0.4542124542124542,0.0,0.42207792207792205,-0.14175240588815413,-0.39743379844379906,-0.683219522976607,-0.09497508623056822,-0.5955966826011093,-1.912977496140238,3.986208314329898,-5.8991858104701365,1288600.0,-1.4845394196338956e-06,-1.4845394196338957,148.0,2251.0,4.0,0.457756996890271,0.0868800977343403,100.21567303420701,103.79688582852066,-3.544868947134606,0.02449511328298534,0.0825207019102621,0.18220071079520211,0.13262914260328743,19.441386050644162,19.499777876499333,0.4532374055975122,93.910329187028,0.03662638827187916,-0.12287047279687775,-0.38689495644722294,0.06843674085328297,-0.9905615942224031,-0.03879239939764383,-0.6259154062472699,1.220490700004746,-0.9396055733058466,-1.8157129615592353,4.080913858921432,-5.896626820480668,-1.4090586384907926e-06,-1.4090586384907926
2039,Keyon Dooling,2000,10,1,10,277.0,26.0,4682.0,574.0,1445.0,109.0,354.0,342.0,451.0,45.0,288.0,333.0,540.0,153.0,37.0,294.0,448.0,1599.0,5.0,23.0,0.3972318339100346,0.307909604519774,0.7583148558758315,0.8508717580957335,0.23510975230340944,-0.004098704911254418,-0.4328807820594055,0.42713041897886495,1.076132442407348,2.9660976465445814,-1.8899652041372335,1224100.0,8.791213482618642e-07,0.8791213482618642,277.0,4678.6,5.0,0.48630615996238186,0.18695588423887488,99.45606805454622,101.4274398324285,-1.9713717778822724,0.20092455007908347,0.0100792117300047,0.06041084939939297,0.03602637541144787,11.789749070234686,11.79888855640576,0.43469546445517887,92.45125122900012,0.06679160432608046,0.8590755342219084,0.24278125482887297,0.22027761397567597,0.3845540394267284,0.1253216384430298,-0.0024836798722434653,-0.897970706768697,1.0998852469778584,2.0314409412331336,3.1907493908369724,-1.1593084496038388,1.6595383883940311e-06,1.6595383883940311
